location_type, parent_station, stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, supported_modes
0,,26797,26797,"Maida Vale Rd Before Pinker Cr","",-31.9525990460,116.0193953220,2,Bus
0,,26798,26798,"Maida Vale Rd After Hawtin Road","",-31.9546144503,116.0209006930,2,Bus
0,,26799,26799,"Maida Vale Rd Before Hawtin Rd","",-31.9546619537,116.0211195710,2,Bus
0,,26813,26813,"Warwick Rd After Allenswood Rd","",-31.8335502013,115.8076917250,2,Bus
0,,26814,26814,"Warwick Rd Before Allenswood Rd","",-31.8338512016,115.8073420390,2,Bus
0,,26815,26815,"Warwick Rd Before Cockman Rd","",-31.8336255602,115.8111311420,2,Bus
0,,26816,26816,"Warwick Rd After Cockman Rd","",-31.8339259222,115.8107326660,2,Bus
0,,26817,26817,"Parnell Av Before Seacrest Dr","",-31.8282386686,115.7576446740,3,Bus
0,,26818,26818,"Parnell Av After Seacrest Dr","",-31.8283175379,115.7577364180,3,Bus
0,,26819,26819,"Parnell Av Before Martin Rd","",-31.8311807737,115.7576454980,2,Bus
0,,26820,26820,"Parnell Av After Martin Rd","",-31.8311992991,115.7577353250,2,Bus
0,,26821,26821,"Balcatta Rd Before Careniup Av","Balcatta Rd / Careniup Av",-31.8594152839,115.7943732350,2,Bus
0,,26822,26822,"Careniup Av After Agnew Loop","",-31.8612045474,115.7958897890,2,Bus
0,,26823,26823,"Careniup Av Before Agnew Loop","",-31.8612986033,115.7960020120,2,Bus
0,,26824,26824,"Careniup Av Before Exmouth Vsta","",-31.8639909092,115.79607552,2,Bus
0,,26825,26825,"Careniup Av After Exmouth Vsta","",-31.86384888888890,115.796171111111,2,Bus
0,,26826,26826,"Careniup Av Before Nankeen Wy","",-31.8662754777,115.7959928730,2,Bus
0,,26827,26827,"Careniup Av After Nankeen Wy","",-31.8669004433,115.7960704760,2,Bus
0,,26829,26829,"Grimwood Av After Careniup Av","",-31.8690189324,115.7948581230,2,Bus
0,,26830,26830,"Northport Bvd After Batavia Av","",-32.59619333333340,115.640447222222,8,Bus;School Bus
0,,26831,26831,"Northport Bvd Before Batavia Av","",-32.5963402441,115.6404334690,8,Bus;School Bus
0,,26832,26832,"Telford Cr After Brunel St","Telford Cr / Brunel St",-31.891660,115.815961111111,2,Bus
0,,26833,26833,"Telford Cr Before Brunel St","Telford Cr / Brunel St",-31.89214055555560,115.815805,2,Bus
0,,26834,26834,"Telford Cr After Messina Av","",-31.8946266957,115.8143734090,2,Bus
0,,26835,26835,"Telford Cr Before Messina Av","",-31.8948153293,115.8143766080,1,Bus
0,,26836,26836,"Messina Av Before Torino Wy","",-31.8954111752,115.8166962270,1,Bus
0,,26837,26837,"Messina Av Before Torino Wy","",-31.89564833333330,115.817111111111,1,Bus
0,,26838,26838,"Cassino Dr Before Tivoli Dr","",-31.8969042081,115.8197773960,1,Bus
0,,26839,26839,"Cassino Dr After Potenza Av","",-31.8967600246,115.8195045580,1,Bus
0,,26840,26840,"Hamilton St Before Firsby St","",-31.8985120116,115.8227735130,1,Bus
0,,26841,26841,"Hamilton St Before Firsby St","",-31.89886166666670,115.823007222222,1,Bus
0,,26842,26842,"Hutton St After Edward St","",-31.8973942238,115.8265045270,1,Bus
0,,26843,26843,"Powell St Before French St","",-31.910345,115.836003888889,1,Bus
0,,26844,26844,"Powell St After French St","",-31.91042555555550,115.835825555556,1,Bus
0,,26845,26845,"Powell St Before Banksia St","",-31.9103619481,115.8392690040,1,Bus
0,,26846,26846,"Powell St After Banksia St","",-31.9104469117,115.8392751340,1,Bus
0,,26847,26847,"Banksia St Before Joondanna Dr","",-31.9129413290,115.83973682,1,Bus
0,,26848,26848,"Banksia St After Joondanna Dr","",-31.91282722222220,115.839633888889,1,Bus
